v,酒類,url,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36
v,拉圖城堡紅酒,https://i.imgur.com/diorIgW.jpg,afnsv,ajnsv,bfnsv,bjnsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Insignia紅酒,https://i.imgur.com/pSZcQg4.jpg,afpsv,ajpsv,afnsv,ajnsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,葛拉漢年份波特酒,https://i.imgur.com/o6lYsmx.jpg,dfpsv,djpsv,depsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,那帕鹿躍費園紅酒,https://i.imgur.com/4tTK1St.jpg,afpsv,ajpsv,bfpsv,bjpsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,鹿躍酒莊月神紅酒,https://i.imgur.com/Bv3rMtT.jpg,afpsv,aepsv,ajpsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,陳年法國香檳,https://i.imgur.com/7Le5HPb.jpg,cilsv,cinsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,酩悅Imperial香檳,https://i.imgur.com/EuOJrma.jpg,cglsv,cilsv,celsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,仙之谷加拿大冰酒,https://i.imgur.com/PRWOdEo.jpg,dimsv,dhmsv,dipsv,dhpsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,凱歌皇牌香檳,https://i.imgur.com/oCjPUHl.jpg,cipsv,cjpsv,cilsv,cjlsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,鹿躍酒莊紅酒,https://i.imgur.com/eRT9RKC.jpg,afpsv,ajpsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,科克蘭白酒,https://i.imgur.com/xCqVEkW.jpg,bgnsu,binsu,bjnsu,bensu,cgnsu,cinsu,cjnsu,censu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hess系列夏多內白酒,https://i.imgur.com/4XvUmxE.jpg,bilsv,belsv,bklsv,cilsv,celsv,cklsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,羅伯蒙岱維夏多內白酒,https://i.imgur.com/hX6ZC7m.jpg,bglsv,bilsv,belsv,bgnsv,binsv,bensv,cglsv,cilsv,celsv,cgnsv,cinsv,censv,,,,,,,,,,,,,,,,,,,,,,,,
,雲霧之灣夏多內白酒,https://i.imgur.com/RGGDCju.jpg,bgosv,biosv,bgnsv,binsv,cgosv,ciosv,cgnsv,cinsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,雲霧之灣白蘇維翁白酒,https://i.imgur.com/xROza8f.jpg,cilsv,chlsv,cklsv,cglsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,拉菲堡智利精選白葡萄酒,https://i.imgur.com/w4BpTlJ.jpg,bgosu,bhosu,bglsu,bhlsu,cgosu,chosu,cglsu,chlsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,斯卡特選紅酒,https://i.imgur.com/3IpC6Zn.jpg,afnsv,ajnsv,bfnsv,bjnsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,貓頭鷹晚摘麗絲玲微甜白酒,https://i.imgur.com/7sNA2MF.jpg,bgmsu,bimsu,cgmsu,cimsu,dgmsu,dimsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,貓頭鷹霜釀葡萄酒,https://i.imgur.com/9oNKIhw.jpg,bgmsu,bimsu,bemsu,bgpsu,bipsu,bepsu,cgmsu,cimsu,cemsu,cgpsu,cipsu,cepsu,dgmsu,dimsu,demsu,dgpsu,dipsu,depsu,,,,,,,,,,,,,,,,,,
,法茲貴族甜白酒,https://i.imgur.com/kztENPK.jpg,demsu,depsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,科克蘭吉貢達紅酒,https://i.imgur.com/QsQmz7m.jpg,afpsu,akpsu,ajpsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10年波特葡萄酒,https://i.imgur.com/3zmDw2T.jpg,dgmsu,dfmsu,dkmsu,dgpsu,dfpsu,dkpsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,西域微甜紅酒,https://i.imgur.com/8CjsAwR.jpg,afmsu,aemsu,afpsu,aepsu,dfmsu,demsu,dfpsu,depsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,卡邦精選紅酒,https://i.imgur.com/GG4UJ7o.jpg,afpsu,ajpsu,akpsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,夏伯帝畢拉奧紅酒,https://i.imgur.com/9YgNSTR.jpg,afpsu,afmsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
